"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","master's degree","free/reduced","none","82","82","80"
"male","group E","associate's degree","standard","completed","99","78","80"
"female","group A","some college","standard","none","38","44","40"
"female","group D","associate's degree","free/reduced","none","59","81","80"
"female","group C","master's degree","free/reduced","completed","71","82","79"
"female","group C","some high school","standard","completed","56","77","73"
"female","group D","high school","standard","completed","60","60","67"
"female","group E","some college","standard","none","71","73","72"
"female","group B","associate's degree","standard","none","55","69","71"
"female","group D","bachelor's degree","standard","none","93","85","90"
"male","group D","bachelor's degree","standard","none","81","74","73"
"male","group C","associate's degree","standard","none","91","88","89"
"male","group E","some college","standard","none","52","51","42"
"female","group D","associate's degree","free/reduced","none","87","91","88"
"female","group C","high school","free/reduced","none","64","74","72"
"female","group E","high school","standard","none","56","64","63"
"male","group E","some college","standard","none","70","66","67"
"male","group D","high school","free/reduced","completed","58","71","71"
"male","group B","associate's degree","standard","none","82","74","64"
"female","group A","some college","standard","none","49","59","53"
"male","group E","some college","free/reduced","completed","68","62","69"
"female","group C","master's degree","free/reduced","none","54","61","66"
"female","group C","some college","standard","none","57","59","59"
"male","group C","associate's degree","standard","completed","93","90","84"
"male","group E","associate's degree","standard","completed","97","90","84"
"male","group C","bachelor's degree","free/reduced","none","55","57","59"
"female","group C","high school","standard","none","57","74","71"
"female","group B","bachelor's degree","standard","completed","82","82","85"
"female","group D","high school","free/reduced","none","43","39","47"
"female","group B","master's degree","standard","none","83","83","84"
"female","group A","some college","standard","completed","81","92","91"
"male","group C","high school","standard","none","70","66","61"
"female","group C","some college","free/reduced","completed","63","78","83"
"male","group C","high school","standard","none","26","20","23"
"male","group C","master's degree","standard","none","65","54","57"
"male","group E","associate's degree","standard","none","92","80","78"
"female","group C","some high school","standard","completed","70","75","77"
"female","group D","some high school","standard","none","60","60","58"
"female","group D","associate's degree","free/reduced","none","68","82","82"
"female","group D","high school","standard","none","82","86","83"
"female","group D","associate's degree","free/reduced","none","45","56","57"
"male","group B","some college","standard","none","50","50","44"
"female","group A","some high school","standard","none","74","75","70"
"female","group C","some college","standard","completed","93","93","100"
"male","group D","associate's degree","standard","none","80","84","80"
"male","group C","some high school","standard","none","55","62","54"
"male","group B","associate's degree","standard","none","77","69","69"
"female","group C","some college","free/reduced","none","51","64","58"
"female","group C","high school","standard","completed","49","59","65"
"female","group D","some college","free/reduced","completed","75","89","95"
"male","group D","some college","free/reduced","none","66","72","70"
"male","group A","some high school","standard","none","69","59","62"
"female","group C","bachelor's degree","free/reduced","none","71","85","80"
"male","group A","some college","free/reduced","completed","63","66","59"
"male","group B","bachelor's degree","standard","none","45","45","44"
"female","group B","master's degree","free/reduced","none","54","60","66"
"female","group C","associate's degree","standard","completed","58","70","69"
"male","group C","some college","standard","completed","81","77","78"
"female","group D","bachelor's degree","standard","completed","87","93","100"
"female","group C","high school","standard","none","58","66","58"
"female","group C","master's degree","free/reduced","none","49","64","53"
"male","group D","some college","standard","none","89","83","84"
"female","group C","high school","free/reduced","none","51","73","63"
"male","group C","bachelor's degree","standard","none","64","63","58"
"male","group C","bachelor's degree","standard","none","89","75","77"
"male","group B","some college","standard","none","82","81","78"
"male","group E","some high school","free/reduced","none","85","65","63"
"female","group D","some high school","free/reduced","none","45","45","48"
"female","group A","high school","standard","none","62","66","71"
"male","group B","high school","standard","none","87","81","80"
"female","group C","associate's degree","standard","none","71","80","80"
"female","group C","associate's degree","free/reduced","none","70","87","82"
"female","group C","associate's degree","standard","none","73","76","72"
"male","group D","associate's degree","free/reduced","none","75","77","76"
"female","group C","some high school","standard","none","73","76","80"
"male","group E","bachelor's degree","free/reduced","none","75","74","65"
"male","group D","high school","standard","completed","80","65","74"
"female","group B","high school","standard","none","41","43","42"
"male","group E","some high school","free/reduced","none","76","71","64"
"male","group E","high school","free/reduced","completed","57","47","42"
"male","group C","some high school","free/reduced","completed","65","57","59"
"male","group B","bachelor's degree","standard","completed","100","93","98"
"female","group C","some college","free/reduced","none","51","55","57"
"female","group E","some high school","standard","none","75","82","77"
"female","group C","some college","standard","completed","86","100","100"
"male","group B","associate's degree","standard","none","89","90","79"
"male","group D","some college","free/reduced","none","69","78","68"
"female","group B","associate's degree","standard","completed","73","78","78"
"male","group C","bachelor's degree","standard","none","68","52","55"
"female","group C","bachelor's degree","standard","none","71","72","70"
"female","group A","associate's degree","standard","completed","73","94","91"
"female","group A","master's degree","standard","none","63","74","69"
"male","group B","some high school","standard","none","58","54","43"
"female","group D","some high school","free/reduced","none","58","62","62"
"male","group D","some high school","free/reduced","completed","61","56","61"
"male","group E","some college","free/reduced","none","71","74","66"
"male","group D","high school","free/reduced","completed","37","38","34"
"male","group C","some high school","standard","none","56","56","51"
"female","group A","associate's degree","standard","completed","73","94","87"
"male","group D","some high school","standard","none","66","58","58"
"male","group C","high school","standard","none","66","69","60"
"male","group B","some college","free/reduced","none","38","41","38"
"female","group D","bachelor's degree","standard","completed","93","93","100"
"female","group E","master's degree","free/reduced","completed","95","100","100"
"male","group C","some college","standard","none","90","84","84"
"female","group C","high school","free/reduced","completed","49","59","62"
"female","group B","associate's degree","standard","none","54","69","71"
"male","group B","high school","standard","none","71","75","66"
"male","group D","bachelor's degree","free/reduced","none","85","86","84"
"female","group D","associate's degree","free/reduced","none","56","59","61"
"male","group B","associate's degree","free/reduced","none","52","51","45"
"male","group C","associate's degree","standard","none","72","66","64"
"female","group E","some college","standard","none","81","84","76"
"male","group C","some college","standard","none","54","60","49"
"female","group D","some college","free/reduced","none","79","89","87"
"female","group C","associate's degree","free/reduced","none","52","65","58"
"male","group E","some college","standard","none","94","66","70"
"male","group E","high school","free/reduced","completed","77","75","75"
"female","group C","associate's degree","standard","completed","79","77","79"
"female","group E","bachelor's degree","free/reduced","completed","46","72","71"
"female","group A","high school","standard","none","70","81","79"
"male","group C","some college","free/reduced","none","70","65","63"
"male","group D","some college","standard","none","67","56","56"
"male","group B","some college","standard","completed","98","97","94"
"male","group B","some high school","standard","none","79","71","65"
"female","group C","some college","standard","none","72","70","67"
"male","group D","some college","standard","none","76","80","82"
"male","group C","some high school","standard","completed","63","61","65"
"female","group C","associate's degree","standard","none","51","55","59"
"female","group C","bachelor's degree","standard","none","90","87","89"
"female","group C","high school","standard","none","43","53","51"
"female","group D","some high school","standard","completed","55","64","68"
"female","group D","master's degree","standard","none","77","78","87"
"male","group E","some college","standard","completed","83","69","72"
"female","group E","bachelor's degree","standard","none","76","81","78"
"male","group B","some college","standard","completed","96","94","89"
"female","group C","some high school","standard","none","27","46","40"
"female","group D","high school","free/reduced","completed","71","93","83"
"male","group E","bachelor's degree","standard","completed","89","90","90"
"female","group B","master's degree","standard","none","86","93","89"
"female","group D","master's degree","standard","none","49","63","65"
"male","group E","some high school","standard","completed","86","79","76"
"male","group A","high school","standard","none","71","71","59"
"female","group B","high school","free/reduced","none","61","70","60"
"male","group D","associate's degree","standard","completed","100","100","98"
"male","group A","some high school","free/reduced","completed","66","70","66"
"male","group B","high school","standard","none","54","40","36"
"male","group A","master's degree","standard","completed","89","70","78"
"female","group E","high school","standard","none","65","76","74"
"male","group C","master's degree","standard","none","69","74","64"
"female","group C","high school","standard","none","52","54","52"
"male","group C","bachelor's degree","standard","completed","87","90","87"
"female","group D","high school","standard","completed","75","81","83"
"male","group C","some college","free/reduced","completed","53","51","48"
"male","group E","high school","standard","completed","60","59","52"
"female","group C","high school","standard","completed","72","75","71"
"female","group A","some high school","standard","completed","72","84","89"
"male","group C","some high school","free/reduced","none","45","44","33"
"male","group C","some high school","standard","none","62","60","58"
"male","group D","high school","standard","none","78","75","78"
"male","group B","bachelor's degree","standard","completed","64","57","59"
"female","group E","some college","free/reduced","completed","37","51","49"
"male","group A","master's degree","free/reduced","completed","62","68","71"
"female","group E","some college","free/reduced","completed","79","88","88"
"male","group D","high school","free/reduced","completed","71","71","75"
"female","group C","some high school","standard","none","58","70","67"
"male","group A","some college","standard","none","84","81","80"
"female","group C","associate's degree","standard","completed","90","98","100"
"male","group C","some high school","standard","none","64","56","58"
"female","group C","high school","standard","none","55","60","62"
"female","group B","associate's degree","standard","none","69","76","62"
"male","group A","some college","standard","none","75","76","69"
"female","group B","some college","free/reduced","completed","30","48","49"
"female","group E","high school","standard","completed","61","65","69"
"male","group D","master's degree","standard","none","84","81","81"
"male","group C","bachelor's degree","standard","none","83","78","74"
"female","group C","some college","standard","none","64","71","70"
"female","group C","some college","standard","none","57","70","68"
"female","group D","bachelor's degree","standard","none","77","83","91"
"male","group B","high school","free/reduced","none","54","54","52"
"male","group D","associate's degree","free/reduced","none","82","77","76"
"male","group D","bachelor's degree","standard","none","84","82","86"
"female","group E","some high school","standard","completed","81","92","96"
"male","group D","some college","free/reduced","completed","56","60","61"
"male","group C","some high school","standard","none","39","45","35"
"male","group E","some high school","standard","completed","87","81","83"
"male","group D","some college","standard","none","83","68","71"
"female","group B","some high school","free/reduced","none","71","67","72"
"female","group C","some college","free/reduced","none","55","71","70"
"female","group E","some college","standard","none","38","42","39"
"female","group B","high school","standard","none","83","88","88"
"male","group C","some college","free/reduced","completed","71","68","73"
"female","group E","some college","free/reduced","none","48","71","67"
"female","group E","some high school","standard","none","74","60","62"
"female","group E","high school","standard","none","67","73","75"
"male","group C","some high school","standard","none","43","41","35"
"female","group B","some college","free/reduced","none","50","62","64"
"male","group B","some high school","free/reduced","none","56","52","49"
"female","group D","master's degree","standard","none","60","49","54"
"male","group C","bachelor's degree","free/reduced","completed","80","89","84"
"male","group D","high school","standard","none","57","63","55"
"female","group D","high school","standard","none","89","93","94"
"male","group A","high school","free/reduced","completed","59","55","53"
"male","group C","some high school","free/reduced","completed","73","68","61"
"female","group E","bachelor's degree","free/reduced","completed","65","73","83"
"male","group B","some high school","standard","completed","97","85","84"
"male","group D","associate's degree","standard","none","81","69","71"
"female","group B","high school","standard","none","65","69","66"
"female","group E","associate's degree","free/reduced","none","93","97","93"
"male","group C","some college","free/reduced","completed","58","64","56"
"male","group A","some high school","standard","none","61","60","53"
"male","group B","some college","standard","none","75","64","64"
"female","group D","some college","standard","none","82","97","99"
"male","group E","some college","standard","none","72","67","63"
"male","group D","some college","standard","none","57","49","51"
"male","group E","high school","standard","none","89","89","78"
"female","group C","bachelor's degree","free/reduced","completed","61","79","77"
"female","group D","bachelor's degree","free/reduced","none","57","71","73"
"male","group C","some college","standard","none","78","79","77"
"female","group C","some college","free/reduced","none","69","83","81"
"male","group D","some high school","standard","completed","67","82","76"
"female","group A","some college","standard","none","49","69","69"
"male","group D","associate's degree","standard","completed","61","74","71"
"female","group D","master's degree","free/reduced","completed","61","71","71"
"male","group C","associate's degree","standard","none","62","60","55"
"female","group B","bachelor's degree","free/reduced","none","34","48","47"
"male","group E","high school","standard","none","74","64","59"
"male","group C","some college","free/reduced","none","59","63","52"
"female","group D","high school","standard","none","83","81","90"
"male","group C","high school","standard","none","63","68","60"
"female","group C","some high school","standard","completed","46","56","56"
"female","group E","some high school","standard","none","73","76","78"
"male","group B","some college","standard","none","58","63","57"
"female","group A","associate's degree","standard","none","84","84","86"
"male","group C","some college","standard","none","64","53","54"
"male","group C","high school","free/reduced","none","71","66","60"
"male","group D","some high school","free/reduced","none","53","55","43"
"female","group B","associate's degree","standard","none","53","54","58"
"female","group A","high school","free/reduced","none","73","80","82"
"female","group C","associate's degree","standard","none","64","65","64"
"female","group B","some high school","standard","none","72","70","69"
"male","group E","high school","free/reduced","none","60","60","54"
"male","group B","bachelor's degree","free/reduced","none","65","50","59"
"male","group B","high school","standard","completed","83","86","85"
"female","group D","high school","standard","none","57","57","55"
"female","group E","some high school","free/reduced","none","46","55","54"
"female","group C","some college","standard","none","78","100","94"
"male","group A","some high school","free/reduced","none","62","61","60"
"female","group A","some high school","standard","none","64","73","67"
"female","group D","associate's degree","standard","none","93","100","100"
"female","group A","some high school","free/reduced","none","47","50","48"
"female","group D","associate's degree","standard","none","53","52","59"
"male","group B","master's degree","standard","none","81","72","66"
"male","group C","associate's degree","standard","completed","62","55","53"
"male","group B","some college","free/reduced","completed","68","64","63"
"female","group C","some high school","standard","completed","49","67","69"
"female","group D","high school","standard","none","87","97","92"
"female","group E","bachelor's degree","standard","completed","89","96","100"
"male","group C","some college","free/reduced","none","66","65","60"
"female","group D","some college","free/reduced","none","45","54","56"
"male","group E","high school","standard","none","85","76","72"
"male","group B","bachelor's degree","free/reduced","completed","72","86","84"
"female","group A","master's degree","standard","none","91","100","97"
"female","group B","associate's degree","standard","none","70","75","82"
"male","group C","some high school","standard","none","62","64","54"
"female","group A","some high school","standard","none","55","67","67"
"female","group B","associate's degree","standard","completed","71","61","70"
"male","group A","high school","free/reduced","completed","60","66","57"
"female","group B","associate's degree","free/reduced","completed","58","82","79"
"male","group D","master's degree","standard","none","100","99","95"
"male","group C","associate's degree","standard","none","68","67","63"
"male","group B","high school","standard","none","57","65","55"
"male","group C","some high school","free/reduced","none","48","48","43"
"female","group D","high school","free/reduced","none","51","60","56"
"female","group E","bachelor's degree","standard","completed","83","99","97"
"female","group D","some college","standard","none","79","87","87"
"female","group B","master's degree","standard","none","45","61","47"
"male","group E","bachelor's degree","standard","none","100","95","98"
"female","group A","some high school","standard","completed","39","61","57"
"female","group E","some high school","standard","none","77","88","76"
"female","group A","some college","standard","none","67","73","67"
"male","group C","some high school","standard","none","73","56","50"
"male","group B","some college","standard","completed","92","83","92"
"male","group B","associate's degree","standard","completed","73","81","77"
"male","group A","associate's degree","standard","none","96","82","84"
"male","group B","associate's degree","standard","completed","62","66","68"
"female","group D","some college","free/reduced","none","66","78","81"
"female","group D","some high school","free/reduced","none","63","68","68"
"female","group C","bachelor's degree","standard","none","83","92","90"
"female","group C","some college","standard","completed","53","71","73"
"male","group A","some college","free/reduced","none","41","48","41"
"male","group B","high school","free/reduced","none","37","40","33"
"female","group C","high school","standard","none","67","81","78"
"male","group D","associate's degree","standard","completed","100","87","92"
"male","group D","some high school","free/reduced","none","51","60","52"
"male","group C","associate's degree","free/reduced","none","51","58","49"
"female","group C","high school","standard","none","69","66","70"
"female","group C","high school","free/reduced","none","48","58","49"
"female","group E","some college","standard","none","94","95","95"
"male","group E","associate's degree","standard","none","90","70","71"
"male","group B","some high school","standard","none","58","58","55"
"female","group C","high school","standard","none","73","73","73"
"male","group B","some high school","free/reduced","none","55","51","43"
"female","group B","bachelor's degree","standard","completed","72","73","77"
"female","group C","some college","standard","completed","72","81","85"
"male","group D","some high school","standard","none","72","80","68"
"female","group D","some high school","standard","completed","60","71","72"
"female","group C","master's degree","free/reduced","completed","68","76","74"
"female","group E","some college","standard","completed","71","72","75"
"male","group C","bachelor's degree","standard","none","76","67","65"
"male","group B","associate's degree","free/reduced","none","66","72","65"
"female","group C","high school","standard","none","57","67","66"
"male","group D","associate's degree","standard","completed","72","66","73"
"female","group D","high school","standard","none","68","74","75"
"male","group D","associate's degree","standard","none","62","66","62"
"female","group B","high school","standard","none","74","93","90"
"female","group D","master's degree","free/reduced","completed","67","71","82"
"male","group D","master's degree","standard","none","98","82","82"
"female","group D","master's degree","standard","none","76","75","84"
"male","group C","some high school","standard","completed","89","84","91"
"male","group D","some high school","standard","none","53","45","42"
"female","group B","some college","free/reduced","completed","45","66","64"
"female","group D","high school","standard","none","55","64","66"
"male","group D","bachelor's degree","free/reduced","none","52","52","55"
"female","group D","some college","standard","none","80","80","81"
"male","group C","some high school","free/reduced","none","52","46","41"
"male","group B","master's degree","standard","completed","79","88","91"
"male","group B","high school","standard","completed","91","89","90"
"male","group D","some high school","free/reduced","completed","83","88","85"
"female","group D","some college","standard","none","59","57","65"
"male","group B","some college","free/reduced","none","62","61","60"
"male","group C","high school","standard","none","34","42","34"
"female","group B","associate's degree","standard","completed","74","80","80"
"female","group D","some high school","standard","completed","66","58","67"
"male","group E","master's degree","standard","none","98","77","80"
"male","group C","master's degree","free/reduced","completed","88","94","92"
"male","group C","high school","standard","none","82","79","72"
"male","group C","bachelor's degree","standard","none","56","56","58"
"female","group C","associate's degree","free/reduced","completed","49","69","64"
"male","group D","associate's degree","free/reduced","none","41","32","31"
"female","group C","associate's degree","free/reduced","none","78","91","88"
"female","group D","master's degree","free/reduced","none","34","49","55"
"female","group D","some college","free/reduced","completed","52","70","72"
"male","group D","associate's degree","free/reduced","none","55","62","53"
"male","group C","some college","standard","completed","76","70","71"
"female","group E","associate's degree","standard","none","94","96","93"
"male","group E","some high school","standard","none","99","95","88"
"male","group B","associate's degree","free/reduced","completed","33","43","38"
"male","group E","bachelor's degree","standard","completed","96","97","96"
"male","group D","master's degree","free/reduced","completed","80","79","86"
"male","group C","some high school","free/reduced","none","50","45","41"
"female","group C","associate's degree","free/reduced","none","44","54","53"
"female","group D","some high school","standard","none","84","86","94"
"male","group C","bachelor's degree","free/reduced","none","80","88","80"
"female","group A","bachelor's degree","standard","completed","59","68","77"
"male","group C","high school","standard","completed","97","93","86"
"male","group C","bachelor's degree","standard","completed","54","57","61"
"male","group C","some high school","standard","none","66","56","53"
"female","group D","high school","standard","none","77","94","91"
"female","group B","some college","free/reduced","none","63","57","64"
"male","group C","associate's degree","standard","none","83","73","77"
"male","group D","some college","standard","none","97","87","85"
"male","group C","bachelor's degree","free/reduced","completed","78","77","78"
"female","group C","some high school","standard","none","62","67","65"
"female","group B","high school","standard","completed","60","81","81"
"male","group C","some high school","free/reduced","none","78","68","65"
"female","group C","some college","standard","none","72","77","76"
"female","group C","some college","free/reduced","none","62","76","65"
"male","group C","bachelor's degree","standard","none","50","40","46"
"female","group E","some high school","free/reduced","none","50","54","48"
"male","group B","associate's degree","standard","none","87","88","78"
"female","group D","some college","standard","none","68","84","85"
"female","group D","associate's degree","free/reduced","none","77","78","78"
"male","group D","bachelor's degree","standard","none","84","83","80"
"male","group C","master's degree","free/reduced","completed","75","83","74"
"male","group C","some high school","standard","completed","87","80","80"
"male","group B","associate's degree","standard","none","86","84","85"
"female","group C","some college","free/reduced","none","78","92","88"
"male","group C","associate's degree","standard","none","72","68","65"
"male","group D","some high school","standard","completed","64","65","57"
"male","group B","some college","free/reduced","none","62","49","52"
"male","group D","associate's degree","standard","none","83","73","77"
"male","group B","associate's degree","free/reduced","none","42","49","45"
"male","group C","associate's degree","standard","none","88","92","86"
"female","group C","some college","free/reduced","completed","53","71","62"
"female","group D","some college","standard","none","50","60","57"
"male","group B","some high school","standard","none","66","67","64"
"male","group D","associate's degree","standard","none","76","63","69"
"male","group C","some college","standard","completed","75","68","70"
